external_id,default_code,name,taxes_id,supplier_taxes_id
product.product_121,01239.34.1,"CALABAZAS (ZAPALLO), CALABACIN, SUQUINI, SAMBOS",,
product.product_122,1239.35,MAIZ DULCE (CHOCLO) FRESCO O REFRIGERADO.,,
product.product_123,01239.35.1,MAIZ DULCE (CHOCLO),,
product.product_124,1239.39,"OTRAS LEGUMBRES Y HORTALIZAS, FRESCAS O REFRIGERADAS: AJIES, PEREJIL, MEJORANA, ETC.",,
product.product_125,01239.39.1,OTRAS LEGUMBRES Y HORTALIZAS,,
product.product_126,124,RAICES Y TUBERCULOS COMESTIBLES RICOS EN ALMIDON O INULINA,,
product.product_127,1240,RAICES Y TUBERCULOS COMESTIBLES RICOS EN ALMIDON O INULINA,,
product.product_128,1240,MANDIOCA (YUCA) EN TUBERCULO FRESCO.,,
product.product_129,01240.00.1,MANDIOCA (YUCA) EN TUBERCULO,,
product.product_130,1240.01,CAMOTE (BATATA) EN TUBERCULO FRESCO.,,
product.product_131,01240.01.1,CAMOTE (BATATA) EN TUBERCULO,,
product.product_132,1240.09,"OTRAS RAICES Y TUBERCULOS RICOS EN ALMIDON O INULINA: MELLOCOS, OCAS, ZANAHORIA BLANCA, ARRURRUZ, SALEP, TOPINAMBUR, ETC.",,
product.product_133,01240.09.1,OTRAS RAICES Y TUBERCULOS,,
product.product_134,13,FRUTAS Y NUECES,,
product.product_135,131,DATILES  HIGOS  BANANOS  COCOS  NUECES DEL BRASIL ( CASTANAS DE PARA)   ANANAS (PINA TROPICAL)  AGUACATES  MANGOS  GUAYABAS  Y MANGOSTANES  FRESCOS O SECOS,,
product.product_136,1310,"DATILES, HIGOS, BANANOS, COCOS, NUECES DEL BRASIL ( CASTANAS DE PARA) , ANANAS (PINA TROPICAL), AGUACATES, MANGOS, GUAYABAS, Y MANGOSTANES, FRESCOS O SECOS",,
product.product_137,1310,BANANAS (INCLUSO PLATANOS ) FRESCAS O SECAS.,,
product.product_138,01310.00.1,BANANAS (INCLUSO PLATANOS ),,
product.product_139,1310.1,HIGOS FRESCOS O SECOS.,,
product.product_140,01310.10.1,HIGOS,,
product.product_141,1310.2,COCOS FRESCOS O SECOS.,,
product.product_142,01310.20.1,COCOS ,,
product.product_143,1310.21,"NUECES DEL BRASIL (CASTANAS DE PARA) FRESCOS O SECOS, CON CASCARA O SIN ELLA.",,
product.product_144,01310.21.1,NUECES DEL BRASIL (CASTAÑAS),,
product.product_145,1310.22,"ANACARDOS ( NUECES DE ACAJU) FRESCOS O SECOS, CON CASCARA O SIN ELLA.",,
product.product_146,01310.22.1,ANACARDOS ( NUECES DE ACAJU),,
product.product_147,1310.3,PINAS (ANANA) FRESCAS O SECAS.,,
product.product_148,01310.30.1,PINAS (ANANA),,
product.product_149,1310.31,DATILES FRESCOS O SECOS.,,
product.product_150,01310.31.1,DATILES (PEPA DE PALMA),,
product.product_151,1310.32,AGUACATES O PALTAS FRESCOS.,,
product.product_152,01310.32.1,AGUACATES O PALTAS,,
product.product_153,1310.33,"GUAYABAS, MANGOS Y MANGOSTANES FRESCOS O SECOS.",,
product.product_154,01310.33.1,"GUAYABAS, MANGOS Y MANGOSTANES",,
product.product_155,132,FRUTAS CITRICAS  FRESCAS O SECAS,,
product.product_156,1320,"FRUTAS CITRICAS, FRESCAS O SECAS",,
product.product_157,1320,NARANJAS FRESCAS O SECAS.,,
product.product_158,01320.00.1,NARANJAS ,,
product.product_159,1320.01,"MANDARINAS (INCLUSO TANGERINAS Y SATSUMAS), CLEMENTINAS, WILKINGS E HIBRIDOS SIMILARES DE CITRICOS,  FRESCOS O SECOS.",,
product.product_160,01320.01.1,"MANDARINAS , CLEMENTINAS, WILKINGS E HIBRIDOS SIMILARES DE CITRICOS",,
product.product_161,1320.1,LIMONES Y LIMAS FRESCOS O SECOS.,,
product.product_162,01320.10.1,LIMONES Y LIMAS ,,
product.product_163,1320.11,POMELOS (TORONJAS) FRESCOS O SECOS.,,
product.product_164,01320.11.1,POMELOS (TORONJAS),,
product.product_165,1320.19,"FRUTAS CITRICAS N.C.P., FRESCAS O SECAS.",,
product.product_166,01320.19.1,FRUTAS CITRICAS N.C.P.,,
product.product_167,133,UVAS  FRESCAS,,
product.product_168,1330,"UVAS, FRESCAS",,
product.product_169,1330,UVAS FRESCAS.,,
product.product_170,01330.00.1,UVAS,,
product.product_171,1330.01,UVAS SECAS (PASAS),,
product.product_172,01330.01.1,UVAS SECAS,,
product.product_173,134,"OTRAS FRUTAS, FRESCAS",,
product.product_174,1340,"OTRAS FRUTAS, FRESCAS",,
product.product_175,1341,"MELONES , SANDIAS Y PAPAYAS FRESCOS",,
product.product_176,1341,"MELONES, FRESCOS",,
product.product_177,01341.00.1,MELONES,,
product.product_178,1341.01,"PAPAYAS, FRESCAS",,
product.product_179,01341.01.1,PAPAYAS,,
product.product_180,1341.02,"SANDIAS, FRESCAS",,
product.product_181,01341.02.1,SANDIAS,,
product.product_182,1349,"OTRAS FRUTAS, FRESCAS N.C.P.",,
product.product_183,1349,MANZANAS FRESCAS.,,
product.product_184,01349.00.1,MANZANAS,,
product.product_185,1349.1,PERAS Y MEMBRILLOS FRESCOS.,,
product.product_186,01349.10.1,PERAS Y MEMBRILLOS,,
product.product_187,1349.11,ALBARICOQUES FRESCOS.,,
product.product_188,01349.11.1,ALBARICOQUES,,
product.product_189,1349.12,"CEREZAS, CAPULIES FRESCOS.",,
product.product_190,01349.12.1,CEREZAS,,
product.product_191,1349.13,"DURAZNOS O MELOCOTONES, INCLUSO NECTARINAS FRESCOS.",,
product.product_192,01349.13.1,DURAZNOS O MELOCOTONES,,
product.product_193,1349.14,"CIRUELAS, CLAUDIAS, MIRABELES, FRESCOS.",,
product.product_194,01349.14.1,"CIRUELAS, CLAUDIAS, MIRABELES",,
product.product_195,1349.15,BAYAS FRESCAS,,
product.product_196,01349.15.1,BAYAS FRESCAS,,
product.product_197,1349.16,FRUTILLAS  (FRESAS) FRESCAS.,,
product.product_198,01349.16.1,FRUTILLAS  (FRESAS),,
product.product_199,1349.17,"FRAMBUESAS, ZARZAMORAS, MORAS, FRESCAS.",,
product.product_200,01349.17.1,"FRAMBUESAS, ZARZAMORAS, MORAS",,
product.product_201,1349.18,GROSELLAS FRESCAS.,,
product.product_202,01349.18.1,GROSELLAS FRESCAS.,,
product.product_203,1349.2,"MARACUYA, GRANADILLA, ETC., FRESCOS.",,
product.product_204,01349.20.1,"MARACUYA, GRANADILLA",,
product.product_205,1349.21,"CHIRIMOYAS, GUANABANAS Y DEMAS ANONAS, FRESCAS.",,
product.product_206,01349.21.1,"CHIRIMOYAS, GUANABANAS Y DEMAS ANONAS",,
product.product_207,1349.22,TOMATES DE ARBOL FRESCOS.,,
